timestamp,sample_rate,frame_size,rms,peak,mean,std,zero_crossings
23.52,8000,320,0.009218351915478706,0.0247802734375,0.0017932892078533769,0.009042241610586643,56
23.56,8000,320,0.010273177176713943,0.0267333984375,-0.0008106231689453125,0.010241145268082619,59
23.6,8000,320,0.009036148898303509,0.0281982421875,0.0018283843528479338,0.008849237114191055,67
23.64,8000,320,0.01441666204482317,0.0418701171875,-0.0016895293956622481,0.014317319728434086,27
23.68,8000,320,0.015532581135630608,0.0438232421875,6.86645489622606e-06,0.015532579272985458,35
23.72,8000,320,0.012041520327329636,0.0360107421875,-0.0016918182373046875,0.011922079138457775,50
23.76,8000,320,0.011338546872138977,0.0360107421875,-0.0006736755603924394,0.011318515986204147,41
23.8,8000,320,0.007190691772848368,0.0228271484375,0.0002056121884379536,0.007187751587480307,68
23.84,8000,320,0.01691189967095852,0.0496826171875,0.0011623383034020662,0.01687191054224968,32
23.88,8000,320,0.00929416622966528,0.0301513671875,-0.0004535675107035786,0.009283091872930527,63
23.92,8000,320,0.008273509331047535,0.0228271484375,-0.0002101898135151714,0.008270838297903538,55
23.96,8000,320,0.00727797532454133,0.0218505859375,0.0007556915516033769,0.0072386362589895725,64
24.0,8000,320,0.008972837589681149,0.0267333984375,0.0005065918085165322,0.008958525024354458,76
24.04,8000,320,0.011225604452192783,0.0360107421875,-0.0017807006370276213,0.011083468794822693,47
24.08,8000,320,0.008144406601786613,0.0257568359375,-0.0005725860828533769,0.008124253712594509,66
24.12,8000,320,0.010345387272536755,0.0281982421875,0.0008796692127361894,0.010307920165359974,51
24.16,8000,320,0.008733942173421383,0.0238037109375,0.0008567810291424394,0.008691816590726376,61
24.2,8000,320,0.01221214048564434,0.0301513671875,-4.539489600574598e-05,0.01221205573529005,39
24.24,8000,320,0.010809008032083511,0.0281982421875,-0.0010181426769122481,0.010760949924588203,52
24.28,8000,320,0.009560159407556057,0.0340576171875,-0.0010787963401526213,0.009499096311628819,61
24.32,8000,320,0.011611467227339745,0.0379638671875,0.0031303404830396175,0.011181553825736046,55
24.36,8000,320,0.010815556161105633,0.0340576171875,-0.0005699157482013106,0.010800530202686787,44
24.4,8000,320,0.01107848808169365,0.0281982421875,0.00012702941603492945,0.0110777597874403,44
24.44,8000,320,0.010545614175498486,0.0281982421875,-0.0004112243768759072,0.010537593625485897,49
24.48,8000,320,0.01091262698173523,0.0321044921875,-0.0017440796364098787,0.01077235396951437,44
24.52,8000,320,0.010122651234269142,0.0301513671875,0.002013778779655695,0.009920320473611355,53
24.56,8000,320,0.010130275040864944,0.0301513671875,-0.0008228301885537803,0.010096803307533264,56
24.6,8000,320,0.007927615195512772,0.0301513671875,0.0005229950184002519,0.007910345681011677,57
24.64,8000,320,0.008553990162909031,0.0281982421875,-0.0003150939883198589,0.008548185229301453,69
24.68,8000,320,0.008378498256206512,0.0218505859375,-0.00010261535499012098,0.008377869613468647,57
24.72,8000,320,0.007590633351355791,0.0198974609375,0.00023765563673805445,0.007586911786347628,63
24.76,8000,320,0.007511981297284365,0.0208740234375,0.0008361816289834678,0.007465296890586615,82
24.8,8000,320,0.008788601495325565,0.0257568359375,-0.0001350402890238911,0.008787564001977444,65
24.84,8000,320,0.009929988533258438,0.0321044921875,-0.002250290010124445,0.009671652689576149,48
24.88,8000,320,0.008870103396475315,0.0228271484375,0.0004917144542559981,0.008856464177370071,58
24.92,8000,320,0.007713181432336569,0.0198974609375,0.0001960754452738911,0.0077106887474656105,64
24.96,8000,320,0.007547898218035698,0.0228271484375,2.975463939947076e-05,0.0075478400103747845,56
25.0,8000,320,0.008367210626602173,0.0218505859375,0.0003952026308979839,0.008357872255146503,55
25.04,8000,320,0.0125656733289361,0.0379638671875,-0.0003303527773823589,0.012561330571770668,82
25.08,8000,320,0.012588784098625183,0.0360107421875,-0.0012580871116369963,0.012525761500000954,67
25.12,8000,320,0.008030559867620468,0.0228271484375,0.00020675659470725805,0.008027898147702217,60
25.16,8000,320,0.008075789548456669,0.0228271484375,0.0006767272716388106,0.008047386072576046,73
25.2,8000,320,0.01003225427120924,0.0340576171875,-0.0003040313604287803,0.010027646087110043,57
25.24,8000,320,0.009177524596452713,0.0267333984375,-0.0005981445428915322,0.00915801152586937,59
25.28,8000,320,0.009772324934601784,0.0301513671875,-0.0004421234189067036,0.00976231787353754,53
25.32,8000,320,0.010234558023512363,0.0267333984375,-0.00021095275587867945,0.010232383385300636,44
25.36,8000,320,0.0068193948827683926,0.0169677734375,0.0007808685186319053,0.006774540059268475,60
25.4,8000,320,0.008086363784968853,0.0198974609375,-0.0003227233828511089,0.008079920895397663,47
25.44,8000,320,0.014956308528780937,0.0418701171875,-0.0015155791770666838,0.014879319816827774,42
25.48,8000,320,0.010017352178692818,0.0301513671875,0.0005191803211346269,0.010003889910876751,46
25.52,8000,320,0.007397743407636881,0.0281982421875,-0.0004535675107035786,0.0073838261887431145,71
25.56,8000,320,0.007621342781931162,0.0198974609375,0.0005474090576171875,0.007601658347994089,50
25.6,8000,320,0.009265190921723843,0.0247802734375,0.00016288757615257055,0.009263759478926659,59
25.64,8000,320,0.0069226957857608795,0.0247802734375,-0.00016021728515625,0.00692084152251482,78
25.68,8000,320,0.007300605997443199,0.0208740234375,-0.00020904540724586695,0.007297612261027098,68
25.72,8000,320,0.009866599924862385,0.0340576171875,-0.0013187408912926912,0.00977807305753231,79
25.76,8000,320,0.008656457997858524,0.0257568359375,0.0007343292236328125,0.008625254034996033,66
